,date,price
139,10/05/2021 17:03:35,58005.2
140,10/05/2021 17:03:36,58015.08
141,10/05/2021 17:03:37,58015.08
142,10/05/2021 17:03:38,58015.08
143,10/05/2021 17:03:16,58002.12
144,10/05/2021 17:03:17,58002.12
145,10/05/2021 17:03:18,58002.12
146,10/05/2021 17:03:19,58006.18
147,10/05/2021 17:03:20,58006.18
148,10/05/2021 17:03:21,58006.18
149,10/05/2021 17:03:22,58006.18
150,10/05/2021 17:03:23,58006.18
151,10/05/2021 17:03:24,58006.18
152,10/05/2021 17:03:25,58006.18
153,10/05/2021 17:03:27,58005.2
154,10/05/2021 17:03:04,58002.08
155,10/05/2021 17:03:05,58002.08
156,10/05/2021 17:03:06,58002.08
157,10/05/2021 17:03:07,58002.08
158,10/05/2021 17:03:09,58002.08
159,10/05/2021 17:03:10,58002.08
160,10/05/2021 17:03:11,58002.12
161,10/05/2021 17:03:12,58002.12
162,10/05/2021 17:03:13,58002.12
163,10/05/2021 17:03:14,58002.12
164,10/05/2021 17:03:15,58002.12
165,10/05/2021 17:02:53,58009.22
166,10/05/2021 17:02:54,58003.26
167,10/05/2021 17:02:55,58003.26
168,10/05/2021 17:02:56,58003.26
169,10/05/2021 17:02:57,58003.26
170,10/05/2021 17:02:58,58003.26
171,10/05/2021 17:02:59,58003.26
172,10/05/2021 17:03:00,58003.26
173,10/05/2021 17:03:01,58003.26
174,10/05/2021 17:03:02,58003.26
175,10/05/2021 17:03:03,58002.08
176,10/05/2021 17:02:42,58016.67
177,10/05/2021 17:02:43,58016.67
178,10/05/2021 17:02:44,58016.67
179,10/05/2021 17:02:45,58016.67
180,10/05/2021 17:02:46,58016.67
181,10/05/2021 17:02:47,58009.22
182,10/05/2021 17:02:48,58009.22
183,10/05/2021 17:02:49,58009.22
184,10/05/2021 17:02:50,58009.22
185,10/05/2021 17:02:51,58009.22
186,10/05/2021 17:02:52,58009.22
187,10/05/2021 17:02:30,58014.03
188,10/05/2021 17:02:31,58014.03
189,10/05/2021 17:02:32,58014.03
190,10/05/2021 17:02:33,58014.03
191,10/05/2021 17:02:34,58014.03
192,10/05/2021 17:02:35,58014.03
193,10/05/2021 17:02:36,58014.03
194,10/05/2021 17:02:37,58014.03
195,10/05/2021 17:02:38,58014.03
196,10/05/2021 17:02:39,58016.67
197,10/05/2021 17:02:41,58016.67
198,10/05/2021 17:02:19,58005.64
199,10/05/2021 17:02:20,58005.64
200,10/05/2021 17:02:21,58005.64
201,10/05/2021 17:02:22,58007.54
202,10/05/2021 17:02:23,58007.54
203,10/05/2021 17:02:24,58007.54
204,10/05/2021 17:02:25,58007.54
205,10/05/2021 17:02:26,58007.54
206,10/05/2021 17:02:27,58007.54
207,10/05/2021 17:02:28,58007.54
208,10/05/2021 17:02:29,58007.54
209,10/05/2021 17:02:07,58016.85
210,10/05/2021 17:02:08,58016.85
211,10/05/2021 17:02:09,58016.85
212,10/05/2021 17:02:10,58016.85
213,10/05/2021 17:02:12,58016.85
214,10/05/2021 17:02:13,58016.85
215,10/05/2021 17:02:14,58005.64
216,10/05/2021 17:02:15,58005.64
217,10/05/2021 17:02:16,58005.64
218,10/05/2021 17:02:17,58005.64
219,10/05/2021 17:02:18,58005.64
220,10/05/2021 17:01:56,58035.01
221,10/05/2021 17:01:57,58035.01
222,10/05/2021 17:01:58,58028.34
223,10/05/2021 17:01:59,58028.34
224,10/05/2021 17:02:00,58028.34
225,10/05/2021 17:02:01,58028.34
226,10/05/2021 17:02:02,58028.34
227,10/05/2021 17:02:03,58028.34
228,10/05/2021 17:02:04,58028.34
229,10/05/2021 17:02:05,58028.34
230,10/05/2021 17:02:06,58016.85
231,10/05/2021 17:01:45,58039.68
232,10/05/2021 17:01:46,58039.68
233,10/05/2021 17:01:47,58039.68
234,10/05/2021 17:01:48,58039.68
235,10/05/2021 17:01:49,58039.68
236,10/05/2021 17:01:50,58035.01
237,10/05/2021 17:01:51,58035.01
238,10/05/2021 17:01:52,58035.01
239,10/05/2021 17:01:53,58035.01
240,10/05/2021 17:01:54,58035.01
241,10/05/2021 17:01:55,58035.01
242,10/05/2021 17:01:33,58069.93
243,10/05/2021 17:01:34,58069.93
244,10/05/2021 17:01:35,58069.93
245,10/05/2021 17:01:36,58069.93
246,10/05/2021 17:01:37,58069.93
247,10/05/2021 17:01:38,58069.93
248,10/05/2021 17:01:39,58069.93
249,10/05/2021 17:01:40,58069.93
250,10/05/2021 17:01:41,58069.93
251,10/05/2021 17:01:42,58039.68
252,10/05/2021 17:01:44,58039.68
253,10/05/2021 17:01:22,58079.38
254,10/05/2021 17:01:23,58079.38
255,10/05/2021 17:01:24,58079.38
256,10/05/2021 17:01:25,58079.74
257,10/05/2021 17:01:26,58079.74
258,10/05/2021 17:01:27,58079.74
259,10/05/2021 17:01:28,58079.74
260,10/05/2021 17:01:29,58079.74
261,10/05/2021 17:01:30,58079.74
262,10/05/2021 17:01:31,58079.74
263,10/05/2021 17:01:32,58079.74
264,10/05/2021 17:01:10,58080.43
265,10/05/2021 17:01:11,58080.43
266,10/05/2021 17:01:12,58080.43
267,10/05/2021 17:01:13,58080.43
268,10/05/2021 17:01:14,58080.43
269,10/05/2021 17:01:16,58079.38
270,10/05/2021 17:01:17,58079.38
271,10/05/2021 17:01:18,58079.38
272,10/05/2021 17:01:19,58079.38
273,10/05/2021 17:01:20,58079.38
274,10/05/2021 17:01:21,58079.38
275,10/05/2021 17:00:59,58088.35
276,10/05/2021 17:01:00,58088.35
277,10/05/2021 17:01:01,58088.35
278,10/05/2021 17:01:02,58088.35
279,10/05/2021 17:01:03,58088.35
280,10/05/2021 17:01:04,58088.35
281,10/05/2021 17:01:05,58088.35
282,10/05/2021 17:01:06,58088.35
283,10/05/2021 17:01:07,58080.43
284,10/05/2021 17:01:08,58080.43
285,10/05/2021 17:01:09,58080.43
286,10/05/2021 17:00:48,58133.71
287,10/05/2021 17:00:49,58133.71
288,10/05/2021 17:00:50,58133.71
289,10/05/2021 17:00:51,58123.29
290,10/05/2021 17:00:52,58123.29
291,10/05/2021 17:00:53,58123.29
292,10/05/2021 17:00:54,58123.29
293,10/05/2021 17:00:55,58123.29
294,10/05/2021 17:00:56,58123.29
295,10/05/2021 17:00:57,58123.29
296,10/05/2021 17:00:58,58123.29
297,10/05/2021 17:00:36,58154.5
298,10/05/2021 17:00:37,58154.5
299,10/05/2021 17:00:38,58154.5
300,10/05/2021 17:00:39,58154.5
301,10/05/2021 17:00:40,58154.5
302,10/05/2021 17:00:41,58154.5
303,10/05/2021 17:00:42,58154.5
304,10/05/2021 17:00:43,58133.71
305,10/05/2021 17:00:44,58133.71
306,10/05/2021 17:00:45,58133.71
307,10/05/2021 17:00:46,58133.71
308,10/05/2021 17:00:25,58159.53
309,10/05/2021 17:00:26,58157.73
310,10/05/2021 17:00:27,58157.73
311,10/05/2021 17:00:28,58157.73
312,10/05/2021 17:00:29,58157.73
313,10/05/2021 17:00:30,58157.73
314,10/05/2021 17:00:31,58157.73
315,10/05/2021 17:00:32,58157.73
316,10/05/2021 17:00:33,58157.73
317,10/05/2021 17:00:34,58157.73
318,10/05/2021 17:00:35,58154.5
319,10/05/2021 17:00:13,58158.96
320,10/05/2021 17:00:14,58158.96
321,10/05/2021 17:00:15,58158.96
322,10/05/2021 17:00:16,58159.53
323,10/05/2021 17:00:18,58159.53
324,10/05/2021 17:00:19,58159.53
325,10/05/2021 17:00:20,58159.53
326,10/05/2021 17:00:21,58159.53
327,10/05/2021 17:00:22,58159.53
328,10/05/2021 17:00:23,58159.53
329,10/05/2021 17:00:24,58159.53
330,10/05/2021 17:00:02,58158.82
331,10/05/2021 17:00:03,58158.82
332,10/05/2021 17:00:04,58158.82
333,10/05/2021 17:00:05,58158.96
334,10/05/2021 17:00:06,58158.96
335,10/05/2021 17:00:07,58158.96
336,10/05/2021 17:00:08,58158.96
337,10/05/2021 17:00:09,58158.96
338,10/05/2021 17:00:10,58158.96
339,10/05/2021 17:00:11,58158.96
340,10/05/2021 17:00:12,58158.96
341,10/05/2021 16:59:51,58152.1
342,10/05/2021 16:59:52,58152.1
343,10/05/2021 16:59:53,58152.1
344,10/05/2021 16:59:54,58152.1
345,10/05/2021 16:59:55,58152.1
346,10/05/2021 16:59:56,58158.82
347,10/05/2021 16:59:57,58158.82
348,10/05/2021 16:59:58,58158.82
349,10/05/2021 16:59:59,58158.82
350,10/05/2021 17:00:00,58158.82
351,10/05/2021 17:00:01,58158.82
352,10/05/2021 16:59:39,58119.95
353,10/05/2021 16:59:40,58119.95
354,10/05/2021 16:59:41,58119.95
355,10/05/2021 16:59:42,58144.37
356,10/05/2021 16:59:43,58144.37
357,10/05/2021 16:59:44,58144.37
358,10/05/2021 16:59:45,58144.37
359,10/05/2021 16:59:46,58144.37
360,10/05/2021 16:59:47,58144.37
361,10/05/2021 16:59:48,58152.1
362,10/05/2021 16:59:50,58152.1
363,10/05/2021 16:59:28,58111.24
364,10/05/2021 16:59:29,58111.24
365,10/05/2021 16:59:30,58111.24
366,10/05/2021 16:59:31,58111.24
367,10/05/2021 16:59:32,58111.24
368,10/05/2021 16:59:33,58111.24
369,10/05/2021 16:59:34,58111.24
370,10/05/2021 16:59:35,58119.95
371,10/05/2021 16:59:36,58119.95
372,10/05/2021 16:59:37,58119.95
373,10/05/2021 16:59:38,58119.95
374,10/05/2021 16:59:16,58097.38
375,10/05/2021 16:59:17,58097.38
376,10/05/2021 16:59:18,58097.38
377,10/05/2021 16:59:19,58097.38
378,10/05/2021 16:59:20,58106.19
379,10/05/2021 16:59:21,58106.19
380,10/05/2021 16:59:23,58106.19
381,10/05/2021 16:59:24,58106.19
382,10/05/2021 16:59:25,58106.19
383,10/05/2021 16:59:26,58106.19
384,10/05/2021 16:59:27,58111.24
385,10/05/2021 16:59:05,58095.63
386,10/05/2021 16:59:06,58095.63
387,10/05/2021 16:59:07,58095.63
388,10/05/2021 16:59:08,58095.63
389,10/05/2021 16:59:09,58095.63
390,10/05/2021 16:59:10,58095.63
391,10/05/2021 16:59:11,58095.63
392,10/05/2021 16:59:12,58097.38
393,10/05/2021 16:59:13,58097.38
394,10/05/2021 16:59:14,58097.38
395,10/05/2021 16:59:15,58097.38
396,10/05/2021 16:58:53,58098.73
397,10/05/2021 16:58:54,58098.73
398,10/05/2021 16:58:55,58098.73
399,10/05/2021 16:58:56,58091.92
400,10/05/2021 16:58:58,58091.92
401,10/05/2021 16:58:59,58091.92
402,10/05/2021 16:59:00,58091.92
403,10/05/2021 16:59:01,58091.92
404,10/05/2021 16:59:02,58091.92
405,10/05/2021 16:59:03,58091.92
406,10/05/2021 16:59:04,58091.92
407,10/05/2021 16:58:42,58118.38
408,10/05/2021 16:58:43,58105.74
409,10/05/2021 16:58:44,58105.74
410,10/05/2021 16:58:45,58105.74
411,10/05/2021 16:58:46,58105.74
412,10/05/2021 16:58:47,58105.74
413,10/05/2021 16:58:48,58105.74
414,10/05/2021 16:58:49,58105.74
415,10/05/2021 16:58:50,58098.73
416,10/05/2021 16:58:51,58098.73
417,10/05/2021 16:58:52,58098.73
418,10/05/2021 16:58:31,58124.12
419,10/05/2021 16:58:32,58124.12
420,10/05/2021 16:58:33,58124.12
421,10/05/2021 16:58:34,58124.12
422,10/05/2021 16:58:35,58124.12
423,10/05/2021 16:58:36,58118.38
424,10/05/2021 16:58:37,58118.38
425,10/05/2021 16:58:38,58118.38
426,10/05/2021 16:58:39,58118.38
427,10/05/2021 16:58:40,58118.38
428,10/05/2021 16:58:41,58118.38
429,10/05/2021 16:58:19,58127.52
430,10/05/2021 16:58:20,58127.52
431,10/05/2021 16:58:21,58127.52
432,10/05/2021 16:58:22,58125.06
433,10/05/2021 16:58:23,58125.06
